Module Category,Feature / Requirement Title,Detailed Feature Description,Business/User Benefit,Component / Notes,Backend API (Route),Integration Status
Billing & Invoicing,Quick Billing,"Create bills quickly using quick product search and barcode scanning, supporting unit selection (PACK vs LOOSE).",Speeds up routine sales transactions and reduces manual entry at checkout.,"Implemented in POS (ProductSearch.tsx, CartTable.tsx)",POST /api/invoices,Connected
Billing & Invoicing,Discount Support,Apply line-item percentage discounts and overall invoice-level discounts while creating bills.,"Supports flexible pricing, customer retention, and promotional campaigns.","Implemented in POS (CartSummary.tsx, posSlice.ts)",POST /api/invoices,Connected
Billing & Invoicing,Tax Support,Supports item-wise tax calculation with automated 50/50 CGST & SGST intra-state split and HSN tax codes.,Helps generate tax-aware customer invoices and seamless GST compliance.,Implemented in POS (gstCalculator.ts),POST /api/invoices,Connected
Billing & Invoicing,Custom Bill Layout,"Customize bill layout with store branding, shop name, address, DL license number, GSTIN, and custom footer terms.",Creates branded customer-facing invoices tailored to business requirements.,"Implemented in POS (ReceiptPrintView.tsx, SettingsPage.tsx)","GET /api/settings, PUT /api/settings",Connected
Billing & Invoicing,PDF Invoice Sharing,Generate and share digital invoice print previews capable of standard PDF saving and printing.,"Makes digital receipt delivery, record keeping, and customer sharing easy.",Implemented in POS (ReceiptPrintView.tsx),Local UI / Print API,Connected (No Backend needed)
Billing & Invoicing,WhatsApp Bill Sharing,Instantly share pre-formatted text invoices directly with customers through WhatsApp (wa.me).,Provides instant digital receipts directly to customer mobile devices.,Implemented in POS (whatsappShare.ts),Local UI / Print API,Connected (No Backend needed)
Billing & Invoicing,Thermal Invoice Printing,Print invoices using supported thermal printers with responsive narrow layouts for 58mm and 80mm roll printers.,Works with typical small-shop receipt hardware for fast physical receipts.,Implemented in POS (ReceiptPrintView.tsx),Local UI / Print API,Connected (No Backend needed)
GST & Tax,Offline GST Billing,Generate GST-compliant invoices with HSN breakdowns without requiring an active internet connection.,Allows compliant billing even during connectivity outages.,Implemented in POS (gstCalculator.ts),Redux / LocalStorage,Connected (No Backend needed)
GST & Tax,GSTIN Support,"GST business information can be configured and displayed across tax invoices, reports, and headers.",Supports business-specific GST invoicing and regulatory compliance.,Implemented in POS (SettingsPage.tsx),"GET /api/settings, PUT /api/settings",Connected
GST & Tax,GSTR-1 Style Reporting,"Provides HSN-wise tax sales report breaking down taxable value, CGST, SGST, total tax, and invoice totals.",Helps prepare GST sales information for compliance and filing workflows.,Implemented in POS (ReportsPage.tsx),GET /api/reports/sales-summary,Connected
